P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11000203A0752|108 119|K-Rev mutants
P08668201A1059|108 118|MATalpha1 IE
P09119391A0870|108 117|human GPT-1
P10469140A0336|108 115|TNFalpha
P09312025A0373|108 115|p85alpha
P09233811A0072|108 114|Mat1-Mc
P10925159A1353|108 113|MARTA2
P08798643T0000|108 113|ZAP-70
P10171173A0955|108 112|non-A
P09724654A0761|108 112|RPA's
P09360956A0840|108 112|c-Raf
P07933066T0000|108 112|E2F-1
P09855111A0905|108 112|SREBP
P09024805A0905b|108 111|CREB
P09873060A0901|108 111|FosB
P10518937A0572|108 111|Bas2
P10347197A0502|108 111|Sos1
P09181130A1067|108 109|r3
P08589358A0841|108 109|Hb
P11070007A0136|108 109|Cp
P10467403A0000|109 136|phosphatidylinositol 3-kinase
P10762254A0954|109 135|DMA and TMA methyltransferases
P10072774A0537|109 128|beta integrin subunits
P01400396A1265|109 126|protein kinase C beta
P09504906A0099|109 125|DNA-binding domain
P08702807A0964|109 124|cyclin D1 promoter
P07538068A1094|109 122|Hoxa-7 enhancer
P01527020A0511|109 117|human gene
P11352663A0138|109 117|NF-kappaB
P09645961A1158|109 116|nTPH gene
P01560021A0379|109 115|rat gene
P08798610A0843|109 115|Cdc42Hs
P11376119A0346|109 115|GHR gene
P11087141A0977|109 114|5'-UTR
P08682868A0738|109 114|Cdc31p
P10347220A1477|109 113|Cet1p
P03567017A0000|109 112|t1/2
P08417330A0149|109 112|CYC1
P10869076A1384|109 112|boxA
P11113199A0800|109 112|ERK2
P08668203A1230|109 112|SF-1
P08307338A0227|109 111|cob
P07559402A0622|109 111|PKA
P09736770A0351|109 111|Sp1
P01898928A0260|110 131|Escherichia coli fur gene
P02419327A0998|110 129|E. coli endonuclease IV
P09774444A0351|110 128|beta-globin promoter
P08412662A0333|110 127|8.0 kb EcoRI fragment
P08219227A0830|110 126|wild-type sequence
P09813110A0982|110 125|C-terminal region
P11459794A1172|110 124|GnRH-II promoter
P08067123A0248|110 124|anti-HCV-C100-3
P08122364A0954|110 122|pCD41 sequence
P08602169A0484|110 121|HML alpha loci
P01021091T0000|110 120|Octapressin
P10024498A0783|110 119|HNF-3alpha
P02987220A0472|110 117|FBP+ gene
P08314163T0000|110 117|rhGM-CSF
P03198525A0164|110 117|hd-1.d-1
P08836172A1382|110 116|p21Cip1
P10194762A0648|110 115|STAT5a
P09121424A0296|110 113|Sthl
P09872832A1262|110 113|IL-8
P11369700A0616|110 113|PU.1
P08918885A1087|110 113|Dig1
P10669736A0903|110 112|PTB
P10446912A0883|110 112|Sp1
P07038684A1050|110 112|p62
P11692004A1200|110 112|NF1
P02165589A0000|111 151|steroid/thyroid hormone receptor superfamily
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P10339552A0361|111 133|Drosophila doublesex gene
P09537361A0149|111 133|colicin V immunity protein
P07744954A0418|111 128|monoclonal antibody
P01588315A0356|111 124|polyhedrin gene
P02833021A1185|111 123|early promoter
P07776685A0000|111 123|interleukin-2
P01159822A0353|111 121|nuclear axes
P08139017A1465|111 119|Ets-1 cDNA
P09312025T0000|111 119|NF-kappaB
P10488148T0000|111 119|NF-kappaB
P10727515A1202|111 117|PLCbeta
P11071651A1308|111 117|FR-beta
P02420432A1060|111 116|PAPP-A
P08157009A0264|111 115|Aps2p
P10958698A0485|111 115|Cse4p
P10903843A0447|111 115|Tapa1
P10650939A1542|111 114|luc3
P06254973A1757|111 114|HDP*
P09079650A0136|111 114|JNKs
P10036191A0000|111 114|TFE3
P06997203A0325|111 113|PHA
P10024383T0000|111 113|twy
P08044802A0462|111 113|p53
P09649501A0358|112 141|heat shock factor binding protein 1
P09804836A0000|112 136|colony stimulating factor-1
P08504928T0000|112 133|TATA box-binding subunit
P08532536A0925|112 132|epidermal growth factor
P02236002A0958|112 130|chicken TCR beta cDNAs
P08474456A1041|112 128|LyF-1 binding sites
P08601283A0875|112 126|type 1 deiodinase
P08707825A0063|112 124|"smoothelin."
P08331067T0000|112 124|endo-N homolog
P10663558T0000|112 123|Ig heavy chain
P07673154A0688|112 122|fibronectin
P09826778A0943|112 120|COUP-TF II
P02949170A0184|112 120|prolactin
P02555519A0798|112 119|H-chains
P10574913A1108|112 119|clathrin
P03065141A0448|112 117|Tn3411
P09011744A0790|112 117|Grin2c
P09601940A0280|112 117|NF-IL6
P08642285A1548|112 116|STAT5
P10358080A1114|112 115|HSF1
P07966583A1268|112 114|Env
P08858211A0694|112 114|GST
P11312120A1311|112 114|Rac
P10376446A0000|112 113|LP
P03874921A0862|112 113|EP
P09212059A1856|112 113|PR
P10786671A0182|113 142|telomerase reverse transcriptase
P07936640A0900|113 128|TGF alpha promoter
P02174974A0000|113 127|xylR gene product
P08770920A1220|113 126|wild-type IDX-1
P02022188A1463|113 126|a regulated gene
P09371564A0713|113 126|wild-type virus
P09573374A0687|113 124|human RIL gene
P08334304A0473|113 123|p21 rasVal12
P08754834A1097|113 119|NN-84AG
P07713421A1435b|113 117|SxlM4
P08449978A0000|113 117|Cdc28
P09837920A0222|113 117|c-Jun
P07713421A1435a|113 117|SxlM4
P08260635A0926|113 116|GapA
P07984088A0592|113 116|PrfA
P08825556A0522|113 116|CREB
P09619631A0344|113 115|GAP
P03023970A0922|113 115|p53
P07936650A0656|113 115|BEC
P02573829T0000|114 148|Drosophila segmentation gene engrailed
P09005273A0322|114 134|butyrylcholinesterase
P01324404A0813|114 129|HNF-3 beta protein
P01662794A0640|114 128|N-terminal- and C
P08722568A1001|114 127|H3 histone genes
P07937112A0220|114 126|recombinant Ku
P03024703A1036|114 126|hsp108 protein
P10545281A0836|114 124|bop gene mRNA
P09701609A0116|114 123|Gbetagamma
P09652742A0455|114 123|MMTV-c-myc
P10567538A1028|114 122|CH3 domain
P09427627A0930|114 122|MAP kinase
P09315678A0278|114 120|Nopp140
P08395014A1364|114 117|PPZ2
P09849965A0000|114 116|hPR
P01645902A1462|114 115|TK
P06369355A0834|115 144|trfA-encoded replication protein
P07489502A0000|115 135|poly A-containing mRNAs
P02111015A0574|115 132|IFN response factors
P11691585A1174|115 132|cKrox family members
P10780883T0000|115 130|interferon-alpha
P09892662A0334|115 129|adenylyl cyclase
P09884747A0477|115 127|yeast antigens
P10613863T0000|115 126|pfoA promoter
P08100843A0134|115 123|Cd22 locus
P07559356T0000|115 122|fnrN gene
P11356853A0429|115 122|pHO15luc
P09767593A0130|115 121|p130Cas
P06784123A0771|115 120|mu chin
P07623807A0162|115 119|v-Ras
P10444597A0586|115 119|Npl3p
P09535082A0537|115 118|PrfA
P08152800A0357|115 118|ER81
P11056007A0224|115 117|SET
P11226752A0750|115 117|E47
P08104189A1168|116 150|Golgi-associated vacuolar-type ATPase
P11004369A0000|116 146|vascular endothelial growth factor
P10423292A0782|116 137|cAMP-responsive element
P10490955T0000|116 131|thrombospondin-1
P08524267A1022|116 131|myc-derived genes
P08551577A0000|116 130|envelope protein
P08622668A1155|116 129|C1 hnRNP protein
P00055040A0000|116 125|fibrinogen
P10564593A0428|116 123|S1-M1-80
P09271397A1596|116 122|Sp1 site
P08769132A0000|116 121|hMSH-2
P10903733A0540|116 120|TRAF2
P09488486A0906|116 120|Pol II
P08195216A1022|116 120|GCN4p
P08647086T0000|116 119|Cdk7
P08497269A0999|116 119|GCN2
P10965135A1207|116 118|MKK
P07935451T0000|116 118|p65
P11094590A0617|116 118|VAP
P08376796A0172|116 118|IgG
P09696819A0450|116 117|ER
P10836786A0516|116 117|P3
P07720572A1584|117 143|chromosomal myoD core enhancer
P03025655T0000|117 143|Fujinami sarcoma virus P130gag
P08614403A0989|117 136|GAL4 response elements
P07957632A0000|117 134|glutamate receptors
P02493644A0588|117 134|serum growth factors
P10497874A0925|117 133|PLC-gamma1 isozyme
P08622887A1026|117 132|GRE-2 and -3 motifs
P09150595A0225|117 129|36-kDa protein
P07891708A1192|117 127|HNF-4 delta C
P11851941A0372|117 127|haemoglobin
P08091669A0828|117 127|ie1 promoter
P09799086A0725|117 125|HPRT exon 3
P02744490A0894|117 125|PTHrP gene
P08654946A0475|117 125|human gene
P09662339A0744|117 124|CD44 mRNA
P08873063A0875|117 123|LpS1 RNA
P08755898A0339|117 122|avrBs2
P03061383A0000|117 121|TEM-1
P09882303T0000|117 121|TRADD
P02199311A0620|117 120|RET1
P09339900A0939|117 120|PEA3
P08805338A1061|117 120|Ogg1
P08710377A0577|117 119|Shc
P09197241A0770|117 119|p58
P11528127A1402|117 118|L1
P02489753A0581|117 118|CG
P08662936A0428|118 157|mouse embryonic TEA domain-containing factor
P09889306A0321|118 155|gibbon ape leukemia virus envelope proteins
P07854130T0000|118 138|type 4 prepilin proteins
P10938135A0259|118 131|tyrosine kinase
P10801482A0968|118 130|kappaB targets
P10848605T0000|118 129|Eph receptors
P03280946A0375|118 128|lac promoter
P06414990A0057|118 128|thyrotropin
P08207232A0503|118 128|NF-IL-6 site
P10532805A1084|118 126|nrg-1 mRNA
P08914522A0118|118 126|high-gene
P10493580A1126|118 125|esterase
P09181130A1587a|118 124|Krox-20
P01279374A0396|118 123|PET122
P09224655T0000|118 123|ClC-6c
P10051488A1293|118 123|HMAP-1
P08145646T0000|118 122|nifU2
P09858577A1186|118 122|Sko1p
P10101198A0946|118 122|mTERF
P08099443A0359|118 121|GCN4
P11431348A0000|118 121|MAPK
P11309677A0000|118 121|GV-F
P09099745A1446|118 121|Cdk2
P09712915A0672|118 121|NF-Y
P09786197A0322|118 121|csrR
P10644357A0935|118 120|VP2
P07745685A1442|118 120|CAT
P07711667A0766|118 120|FAB
P07061350A0042|118 119|f2
P10487759A0630|119 150|Xbra2 promoter-driven reporter gene
P01433502A1163|119 143|an enhancer-specific factor
P11353774A0255|119 142|hepatocyte nuclear factor 3
P01400401A0854|119 136|truncated AMPD3 cDNA
P07683375A0000|119 134|estrogen receptor
P07647570A0713|119 133|Type I deiodinase
P08471629A0816|119 129|Histone IIIS
P08600028A1129|119 128|Myc protein
P10727428A0000|119 128|MAP kinases
P09629449A0540|119 128|peroxidase
P09829843A0819|119 127|rHu GM-CSF
P06507629A0717|119 127|min-1 X g-1
P01317376A0981|119 125|frk mRNA
P09857197A0289|119 124|RanGTP
P09165004A1700|119 123|Elk-1
P10406459A0000|119 122|CREB
P01357190A0726|119 121|CD4
P02502602A0323|119 121|p50
P08582143A0614|119 120|S1
P11127250A1111|119 120|VL
P07784197A0827|120 148|TGF-beta 1 dependent RNA-protein
P10691972T0000|120 146|multidrug resistance protein 3
P04033402A1112|120 144|hepatic triglyceride lipase
P10779508T0000|120 139|human lactoferrin gene
P01420363A0818|120 136|nuclear AP1 factors
P09279379A0310|120 133|H2B histone gene
P08995652A0812|120 132|UL80.5 protein
P08220494A0231|120 132|T-cyt promotor
P09852136A0174|120 132|hemagglutinin
P10518822A1037|120 131|CCR3 receptor
P09445056A0215|120 131|gp41 oligomer
P08063791A1370|120 130|Ras proteins
P02061282A0447|120 128|pilin gene
P09368190A1053|120 128|IFN-gamma
P11106668A0875|120 125|c-IAP1
P09731704A1472|120 125|ERELuc
P10564495A0444|120 124|CD66e
P11352671A0492|120 124|V gene
P07537851A0891|120 124|IRF-1
P10229668A0560|120 124|eIF4E
P01360294A0000|120 124|AT III
P07687541A0992|120 123|CNR2
P09671464A0316|120 123|Snf1
P08189533A0919|120 123|NS53
P11108720A1130|120 123|S6K2
P01783088A1136|120 122|l-1
P10815410A0000|120 122|TNF
P11241243A0693|120 122|p53
P07958898A1050|120 122|Sp1
P08923469A1391|120 122|VDR
P09029091A0881|120 121|A2
P07453919A0000|121 146|alkaline and acid phosphatase
P01375224A0152|121 136|cellular proteins
P07644466A0578|121 132|NS4A cofactor
P09990060A0803|121 132|CD18 promoter
P08896402A0587|121 132|30 kD subunits
P10759693A0201|121 131|H2-receptor
P09710589A1111|121 129|HTLV-1 LTR
P11152521A0181|121 127|primase
P07533858A1503|121 127|GP64 EFP
P08218230A1505|121 125|HNF-1
P01547942A0120|121 124|CHOP
P08621542A0535|121 124|CD28
P10066790A0497|121 124|AP-4
P01333053A0110|121 124|ACTH
P08509333A0843|121 124|FtsN
P07871721A0000|121 124|p223
P08640866A0473|121 124|MAPK
P11289149A0658|121 123|CBP
P02863492A0544|121 123|IgG
P09037032T0000|121 123|Rb1
P02019572A0000|122 166|chloramphenicol acetyltransferase reporter genes
P01310899A0339|122 154|cytoplasmic serine/threonine kinase
P09528768A0000|122 149|ER-resident chaperone proteins
P08642313T0000|122 149|nuclear factor-kappa B proteins
P11309389A0273|122 136|metalloprotease
P02154599T0000|122 129|ZRE sites
P09382886A1061|122 129|p53(-/-)
P10400785A0912|122 127|Nup214
P01429740A1065|122 127|E2 gene
P08637717A0817|122 125|Cdk2
P10074903A0915|122 125|IFNs
P11254504A0766|122 125|MyoD
P09852005A1287|122 125|SAP1
P08111035A0098|122 124|GUS
P09425036A0649|122 124|Csk
P08798443A0660|122 124|Myb
P10781552A0000|122 124|H(2
P08573083A0645|122 124|USF
P11043469A0440|122 123|TR
P02026147A0000|123 147|mammalian type II CaM kinases
P01828248A0189|123 134|UvrAB complex
P07969181A0313|123 132|p53 protein
P10727247A0461|123 132|TEF-1gamma
P01710768A1172|123 132|HLA-B7 gene
P02351239A0693|123 132|mucosal HDC
P09614065A0966|123 130|AP-1 site
P09368419A0628|123 129|rd22BP1
P01429596A1669|123 129|18K-LAF
P09605930A1428|123 129|ALS gene
P09199348A0156|123 129|Y domain
P08818718A1229|123 126|MDR1
P09079878A0000|123 126|lasA
P09395525A0395|123 126|HS3D
P09057325A0177|123 126|SmaI
P10612044A1180|123 125|Aal
P10733591A0146|123 125|JNK
P09763470A1756|123 125|AP2
P02143023A0729|124 151|viral terminal repeat sequences
P01452037A0000|124 147|triosephosphate isomerase
P03296254A0556|124 143|factor II and factor VII
P01864837A1029|124 141|rat alpha 1-protease
P07478523A0551|124 140|RET protein isoform
P10982391A0425|124 139|N-terminal domain
P11181548A0214|124 138|5-kb DNA fragment
P02844767A1022|124 136|subunit IV gene
P09806826A1773|124 134|murine locus
P11127200A1024|124 132|TGF-beta1
P08288240A1343|124 131|stathmin
P09806857A0854|124 129|Pac25I
P09426958A0110|124 129|E. coli
P07708058A0178|124 128|c-fos
P11274357A0724|124 128|Cdc42
P09261155A0833|124 128|IRS-2
P11038118A0000|124 126|BSA
P10398286A0678|124 126|S2p
P11463834A0606|124 126|Tax
P01588270A1029|124 126|DBP
P08306959A0278|124 126|GAS
P09417941A1287|124 125|LG
P10681588A0899b|125 156|CCAAT enhancer-binding protein beta
P10681588A0899a|125 156|CCAAT enhancer-binding protein beta
P08550564T0000|125 151|human interleukin-8 receptor B
P09710614T0000|125 148|phosphoinositide 3-kinase
P10454568A0815|125 145|epidermal growth factor
P08035499A0941|125 144|protein-DNA complexes
P10570996A1213|125 142|TK class II receptors
P09632734A0081|125 134|Rab3 family
P02107548A0727|125 133|human ARF 4
P11486476A0147|125 133|myoglobin
P11390650A0562|125 133|P-1 domain
P08621384A0935|125 132|PKCdelta
P09209372A0345|125 129|AML1b
P07687541A0200|125 129|prp20
P09238860A0175|125 128|CREB
P01348590A0000|125 127|CD4
P07988730A0220|125 127|CAT
P11559564A0459|125 127|SF2
P06336045A0261b|125 127|TRP
P03953361A0000|125 126|CK
P09420220A0070|125 125|J
P01648530A0000|126 161|cardiac actin-beta-globin reporter gene
P08842143A0000|126 149|hupSLCDEFGHIJK-hypABFCDE
P09524267A1023|126 139|helicase motifs
P08463320A1219|126 137|SSB tetramers
P01740448A1735|126 136|Pro II region
P08914388A1645|126 133|AM-1155*
P11034392A1072|126 129|CD40
P11094066A0505|126 129|PI3K
P09536028A0945|126 128|EGF
P08144572A0786|126 128|BiP
P08355680A0824|127 159|endogenous gene encoding gamma-actin
P07499421A0237|127 158|chloramphenicol acetyltransferase
P07600986A0605|127 156|polyhomeotic transcription units
P09423310A0251|127 150|Factor VIII related antigen
P11481625A0202|127 146|peginterferon alfa-2b
P01757341A0591|127 145|alkaline phosphatase
P00232456T0000|127 143|transforming genes
P09341139A0690|127 140|beta-arrestin 1
P09346938A1680|127 140|cathepsin B mRNA
P11463359A0167|127 140|G6Pase promoter
P08483412A0000|127 137|NifA protein
P02828926A1870|127 135|actin gene
P07642544A0868|127 135|NF-kappa B
P01765095A0680|127 134|myogenin
P03312514A0756|127 133|insulin
P08997490A1127|127 133|albumin
P09171235A0851|127 132|TRbeta
P10446149A0809|127 132|RalGDS
P08041793A0242|127 131|COX5b
P10705380A0629|127 131|BMP-4
P01918070A0281|127 130|T3RE
P09269900A1035|127 130|JunD
P09882499A0231|127 130|Pax6
P02993630A1190|127 129|G-A
P09050847A0180|127 129|SL1
P08406419A0155|127 128|MA
P07983011A0617|128 175|microtubule-associated protein kinase kinase kinases
P09889202T0000|128 151|helix-turn-helix proteins
P03818467A0180|128 148|glutathione peroxidase
P02523800A1178|128 139|alpha-factor
P01294345A0591|128 136|prolactin
P09372287A0296|128 136|C1 segment
P08274774A0958|128 133|TMV-U5
P11152344A0416|128 133|fibrin
P09028942A0000|128 132|egr-1
P08576131A0151|128 132|USF2b
P07574064A1416|128 132|min-1
P08624445A0257|128 132|wx-m9
P01386897A0000|128 131|CLN2
P02158927A0000|128 131|RAD7
P00954819A1041|128 131|AChE
P10611320A0816|128 131|Cdk7
P11564871A1184|128 130|TBP
P08585957A0101|129 158|Drosophila trithorax gene product
P07844142A0640|129 145|GTPase superfamily
P02010912A0366|129 142|pulCp promoters
P02590097A0093|129 142|IgA--Type Kappa
P06325415A0757|129 138|Ad5 protein
P09843944A0976|129 137|UP element
P07494274A1015|129 136|alpha TIF
P03721594A0000|129 134|fibrin
P10468585A0980|129 133|Hap46
P08382769A0924|129 133|SRP54
P07707531A0550|129 132|ICP4
P10416558A0000|129 131|CD4
P11108523A0326|129 131|I22
P09765394A1590|129 131|CAT
P10907348A0508|129 130|AP
P11419938T0000|130 153|diphtheria toxin repressor
P01871135A0295|130 148|rat liver glucokinase
P01398071A0526|130 144|RNA polymerases I
P10905352A0000|130 144|terminal protein
P09651383A0967|130 143|apoCII promoter
P08413239A0490|130 142|U2 transcripts
P07504171A1214|130 141|Src SH2 domain
P08794348A1067|130 140|NIa proteins
P09297698A0933|130 140|enolase gene
P02139891A0532|130 138|EIIF sites
P07913891A0174|130 137|Hox genes
P08552042A1497|130 136|A)+ mRNA
P10684265T0000|130 135|hSMT3b
P10629035A0827|130 134|cdc17
P11274184A1068|130 133|Nrf2
P10212278A0387|130 133|SAPK
P10744749T0000|130 133|p300
P08093616T0000|131 148|DNA polymerase alpha
P01314457T0000|131 147|Epstein-Barr virus
P09573202A0900|131 146|N-terminal domain
P07476975A0492|131 142|POMC products
P09171389A0549|131 141|Thermus PyrR
P09372950A1283|131 140|human U2 RNA
P10675331A0600|131 139|cortactin
P07689154A0168|131 139|pp60v-src
P04014861A0000|131 138|catalase
P10619353T0000|131 137|COUP-TF
P09307065A0553|131 136|sec(-1
P10781423A0993|131 135|TTF-1
P09708450A0648|131 135|G-CSF
P09151837A0723|131 135|Rep78
P06782869A0263|131 134|SGPT
P11207609A0994|131 134|VSVG
P07935577A0305|131 133|CSF
P10713175A1399|131 133|p53
P09354349A0338|131 132|WS
P02138707A0198|132 174|murine class II major histocompatibility complex
P10395908A0236|132 170|G-protein coupled membrane-bound receptors
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P01469047A1606|132 156|glutamic acid decarboxylase
P08622030A0667|132 151|lactate dehydrogenase
P07872788A1717|132 148|carboxylesterases
P09729481A0000|132 146|Sp1 binding sites
P10828591A0080|132 142|uteroglobin
P10771709A0291|132 142|IgG antibody
P02116071A0000|132 142|mite antigen
P07673178A0982|132 141|MCK-L type E
P07651340A0286|132 140|wild-type
P10022905A0446|132 140|mog-1 mRNA
P09950213A1660|132 140|TbetaRIII
P10756225A1464|132 139|IL-5 mRNA
P09398855A0438|132 138|p53 gene
P10586115A0477|132 137|PKCeta
P11016850A0423|132 136|LTTRs
P07487811A0000|132 136|PSE-1
P02183467A0668|132 134|tat
P02677002A0205|132 134|C-P
P08232304A1166|133 164|chloramphenicol acetyltransferase
P08325720A0840|133 152|lactate dehydrogenase
P11050168A1185|133 150|RNA-binding protein
P07537851A0000|133 149|interleukin-1 beta
P10400794T0000|133 149|Epstein-Barr virus
P07559640A1230|133 145|bHLH core motif
P07680120A1008|133 143|aFGF protein
P09291098A0452|133 142|rat GGT gene
P02324104A0929|133 141|C pre-mRNA
P08601284A0000|133 140|U3 snoRNA
P11504545A0393|133 139|BKV-MLP
P06272844A0000|133 137|MNase
P10628755A0000|133 137|GHS-R
P11005831A0242|133 137|AREB2
P03354341A0177|133 136|para
P09882303A1413|133 135|JNK
P11222387A1497|133 135|BCR
P10658588A0304|133 135|Dd2
P10358138A0672|133 135|SAP
P11170476A1546|133 135|MHC
P10548434A1549|133 135|p38
P09577395A0000|133 134|s2
P09504423A0114|134 158|glutathione-S-transferase
P08387743A0624|134 155|Mn-superoxide dismutase
P09660836A0983|134 155|deltaN3-S218E/S222D MEK
P02970640A0341|134 153|243-amino acid protein
P01171935A0313|134 153|dopamine receptor site
P07969136A0273|134 153|kappa light-chain gene
P02591078A0000|134 147|OKT6 antibodies
P09858581A0183|134 146|mutant prp38-1
P08457205A0240|134 145|G alpha q cDNAs
P08750190A0000|134 144|CD44 variant
P01645905A0341|134 143|C-terminus
P10187842A1155|134 142|PPARalpha
P04032349A0000|134 142|Urokinase
P08663000A0000|134 142|TGF-beta1
P10492169A0939|134 140|EST-YD1
P09716179A0974|134 140|p27Kip1
P09312087A0000|134 140|PECAM-1
P01734283A0817|134 138|RAP30
P08432137A0000|134 137|PLYS
P09519757A0482|134 137|SUR1
P08412665A0000|134 137|ScrR
P06321634A0123|134 136|TRs
P10780764A0722|134 136|m-3
P10594903A0000|134 135|HD
P02118519A0516|135 160|68-kDa neurofilament protein
P09561560A0579|135 153|HIV-Nef recombinants
P01363080A0710|135 151|carbonic anhydrase
P08647091A0592|135 151|mammalian ADH genes
P09294422A1376|135 145|tac promoter
P02779752A0776|135 144|5-HT1 sites
P01694014A0716|135 142|LD78 cDNA
P10209031A0832|135 142|zeta ITAM
P10501965A0879|135 139|Gpr31
P10096573A0207|135 138|MGSA
P09407031A0557|135 138|Cdc2
P08816507A1125|135 137|YY1
P08808707A0631|135 137|JNK
P06671047A1124|135 136|CD
P08985122A0501|136 157|transcription factor SP1
P01679749A1171|136 156|HSPG2 proteoglycan gene
P07476164A1602|136 155|wild-type CspB protein
P09308738A1216|136 154|von Willebrand factor
P09826658A0691|136 149|BPV-1 pre-mRNAs
P08386279A1621|136 148|HIV-1 promoter
P08076631A0000|136 146|osteocalcin
P03838797A0903|136 145|mutant cDNA
P08756433A0282|136 144|MAP1B gene
P08440238T0000|136 142|T24-ras
P02820128A1333|136 141|ORF T3C
P08223875A0711|136 141|p59fyn
P08891346A1217|136 140|FGF8b
P10713176A0885|136 140|INK4A
P06667015A0832|136 140|CK-MB
P11278928A1634|136 138|p32
P03104248A0322|136 137|G3
P08370119A0642|137 177|vascular smooth muscle cell AT1a receptor cDNAs
P08076937A0851|137 156|Tru9I restriction site
P08566751A0455|137 154|Drosophila Hox genes
P11158324A1073|137 151|apolipoprotein B
P11266558A1470|137 151|RNA polymerase II
P10233885A0899|137 147|p30 isoforms
P10542249A0415|137 145|C/EBPbeta
P08003700T0000|137 144|atpA loci
P08537388A0825|137 142|WNT-5A
P07745696A0932|137 141|SalI L
P01394200A0592|137 140|CD25
P11359568T0000|137 140|parS
P09927585A0796|137 139|Sp1
P01581965A0388|137 139|GAP
P01123658A0000|137 139|L-4
P10095061A0592|138 167|U2-ribonucleoprotein structures
P01310178A0876|138 159|11-kDa C-terminal domain
P10561546A0000|138 156|NF-kappaB p65 subunit
P07739544A0364|138 156|DNA-binding proteins
P01734020A1318|138 154|wild-type PKC alpha
P11595813A0633|138 153|5alpha-reductase
P01679068A0000|138 152|Escherichia coli
P09545353A1071|138 151|E-selectin gene
P01846803A0688|138 151|ATP binding site
P09753774A2246|138 149|fructan genes
P08721989A1012|138 146|IL-2R beta
P08204403A0000|138 144|anti CEA
P10330396A0387|138 143|Nup214
P09199327A1250|138 142|TEF-1
P02473718A0000|138 142|OKT4+
P10037681A0494|138 141|RhoA
P10531342A0348|138 141|gp46
P08688556A0242|138 140|Chc
P03857577A0413|138 140|EIA
P08552643A0261|138 140|IFN
P10995751A0093|139 179|gamma-IFN-activated transcriptional element
P01485648A0000|139 168|allergen-specific IgE antibodies
P09031639A0474|139 154|human U1-C protein
P09079928A1319|139 153|LysR superfamily
P08276854A1894|139 152|pur/pyr segment
P11287611A0802|139 150|cyclin D1 gene
P03297181A0127|139 147|SR product
P01657249A1019|139 146|VH4-HV2a
P08993393T0000|139 146|hPACAP-R
P10688663A0207|139 144|TFIIIA
P08206991A0466|139 143|Cys-3
P09581834A2578|139 143|erbB1
P10514493A0199|139 143|NTR-1
P03133250A0000|139 142|hFSH
P11024300A1579|139 141|ARC
P08443340A0522|139 141|GUS
P11020375A0134|139 140|AF
P11600314A0000|139 140|B2
P08709251A0000|140 190|DNA helicase gene of Bombyx mori nuclear polyhedrosis virus
P09621062A0810|140 171|chloramphenicol acetyltransferase
P08195186A0000|140 167|cationic amino acid transporter
P07916577A0190|140 165|zinc finger-containing cDNAs
P11106428A0635|140 164|glutathione-S-transferase
P08446579A0784|140 161|herpesvirus protein VP16
P06319421A0937|140 161|alpha 2-adrenoreceptors
P09492038A0352|140 157|nuclear protein-DNA
P09415711A1348|140 156|CRE binding protein
P08350398A1616|140 156|class I heavy (alpha
P10913304A1180|140 155|C-terminal domain
P11014215A1092|140 153|human GnRHR gene
P07910716A0359|140 151|rIFN-alpha 2b
P08455623A0630|140 150|snr10 mutant
P08002564A0249|140 148|rpoAL290H
P09833740A1112|140 148|TNF-alpha
P08088818A1053|140 148|RAD52 gene
P10464310A0218|140 145|FGFR-1
P08533757A0204|140 144|BRCA1
P07579695A0336|140 144|NDC10
P08561897A0604|140 143|CREB
P11313342A0224|140 142|PAP
P07528531A0904|140 142|CRP
P10779313A1842|140 142|PKA
P10915780A1063|140 142|ILK
P07571766A0122|140 141|ST
P02789062A1420|141 165|NF-4FB recognition sequence
P09108029A0399|141 154|AP endonuclease
P09138076A1099|141 154|E-box 2 elements
P09234743A0475|141 153|alpha-complex
P09265642A0668|141 150|sop mutants
P07681147A1420|141 149|pp60c-src
P08608448A0353|141 147|4.5S RNA
P09428799A0897|141 147|P450scc
P11122381A0908|141 145|STAT5
P09590540A0513|141 144|Sal1
P09427844A0739|141 144|dGuo
P08223613A0105|141 144|glc6
P08552387A0000|141 143|EWS
P11179956A1818|142 158|N-terminal domains
P10865940A0000|142 150|NF-kappaB
P07999066A0238|142 148|tat gene
P09278441A1160|142 147|tinman
P02758382A0478|142 145|SHBG
P09539779A0621|142 145|All1
P11191208A0000|143 172|ABC binding cassette transporters
P09422727A0196|143 159|CRE binding protein
P00898500A0246|143 153|IgE antibody
P02145268A0746|143 152|COL3A1 gene
P09480843A0848|143 149|rat RL14
P07299857A0294|143 148|KP-T10
P11071924A0588|143 147|c-Cbl
P08972182A0527|143 146|CrmA
P08896280A0860|143 146|yvh1
P02341669A0000|143 145|MLS
P10601290A0742|143 145|I1F
P09205965A1249|144 169|spinal alpha 1-adrenoceptors
P08386592A0089|144 164|Elk-1 C-terminal region
P07696878A0222|144 161|homeodomain protein
P09305944A0621|144 156|yeast proteins
P08552092A1678|144 156|protein factor
P09442024A0708|144 156|Jacalin lectin
P02163382A0169|144 152|lac operon
P08428953A1718|144 152|L-plastin
P10628971A0824|144 150|dynamin
P08660892A1044|144 147|MyoD
